epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1598.44,0.57404,0.58582,1.01702,0.85196,0.8308,0.89716,0.77751,0.70568,0.7218,1.12941,0.0095941,0.0095941,0.0095941
43,1638.03,0.56259,0.57509,1.00808,0.85085,0.86492,0.92382,0.79749,0.65493,0.69731,1.09033,0.0095842,0.0095842,0.0095842
44,1677.04,0.56193,0.5749,1.00532,0.86889,0.81571,0.90539,0.77876,0.69373,0.80404,1.12966,0.0095743,0.0095743,0.0095743
45,1713.8,0.55916,0.56671,1.00706,0.89278,0.82703,0.9148,0.78858,0.68006,0.68564,1.09214,0.0095644,0.0095644,0.0095644
46,1751.7,0.55709,0.56607,1.00816,0.88791,0.84498,0.9203,0.79824,0.66932,0.70305,1.09723,0.0095545,0.0095545,0.0095545
47,1790,0.56309,0.56671,1.01069,0.89044,0.86998,0.93103,0.81193,0.63386,0.65203,1.06947,0.0095446,0.0095446,0.0095446
48,1827.91,0.5636,0.5638,1.00928,0.87627,0.85289,0.91542,0.79143,0.67351,0.66767,1.11984,0.0095347,0.0095347,0.0095347
49,1866.51,0.55481,0.55997,1.00538,0.88866,0.80767,0.89039,0.76484,0.70421,0.77552,1.1225,0.0095248,0.0095248,0.0095248
50,1904.18,0.55103,0.55389,0.99995,0.88218,0.86075,0.92719,0.80606,0.66358,0.68665,1.12343,0.0095149,0.0095149,0.0095149
51,1942.05,0.55226,0.56158,0.99979,0.87999,0.83058,0.90576,0.78544,0.66892,0.75832,1.11821,0.009505,0.009505,0.009505
52,1980.04,0.55474,0.56147,1.00509,0.86599,0.79236,0.87511,0.75256,0.72777,0.83713,1.15102,0.0094951,0.0094951,0.0094951
53,2017.17,0.55779,0.56219,1.00534,0.89581,0.87153,0.93261,0.81607,0.63911,0.61172,1.07207,0.0094852,0.0094852,0.0094852
54,2054.56,0.54309,0.54805,0.99687,0.90155,0.86828,0.93569,0.81449,0.64538,0.6461,1.10394,0.0094753,0.0094753,0.0094753
55,2093.65,0.54644,0.54089,0.99783,0.88423,0.82313,0.90547,0.79301,0.65015,0.72308,1.08464,0.0094654,0.0094654,0.0094654
56,2129.47,0.54576,0.55616,0.99961,0.86866,0.87169,0.92924,0.80935,0.63326,0.66721,1.0745,0.0094555,0.0094555,0.0094555
57,2168.86,0.54566,0.54126,0.9982,0.90175,0.86517,0.93032,0.8117,0.6515,0.63059,1.10429,0.0094456,0.0094456,0.0094456
58,2206.53,0.54775,0.55014,1.00158,0.88087,0.8711,0.93339,0.8158,0.64477,0.64823,1.08842,0.0094357,0.0094357,0.0094357
59,2244.17,0.54464,0.53739,0.99729,0.88921,0.87115,0.93206,0.81877,0.63326,0.60515,1.07276,0.0094258,0.0094258,0.0094258
60,2282.65,0.53944,0.53686,0.99613,0.8865,0.81508,0.9086,0.79618,0.65172,0.67255,1.09755,0.0094159,0.0094159,0.0094159
61,2320.56,0.53454,0.52606,0.99412,0.8845,0.85894,0.92973,0.81228,0.63937,0.64647,1.09906,0.009406,0.009406,0.009406
62,2356.14,0.53563,0.53781,0.99413,0.9049,0.83999,0.92618,0.80709,0.64206,0.67479,1.08235,0.0093961,0.0093961,0.0093961
63,2395.34,0.53837,0.5326,0.99389,0.89195,0.86702,0.92929,0.81925,0.6111,0.66571,1.0729,0.0093862,0.0093862,0.0093862
64,2433.1,0.529,0.51999,0.98884,0.91372,0.8736,0.94099,0.83201,0.61096,0.56765,1.06274,0.0093763,0.0093763,0.0093763
65,2472.79,0.53647,0.53168,0.99599,0.88297,0.87643,0.929,0.82086,0.62273,0.61906,1.08248,0.0093664,0.0093664,0.0093664
66,2509.13,0.53615,0.53211,0.9905,0.88679,0.85925,0.929,0.81558,0.62376,0.64331,1.06896,0.0093565,0.0093565,0.0093565
67,2547.67,0.52537,0.52163,0.98615,0.91052,0.8724,0.94425,0.83168,0.59812,0.55721,1.06254,0.0093466,0.0093466,0.0093466
68,2583.6,0.52973,0.5248,0.98796,0.89059,0.82528,0.91037,0.80378,0.62351,0.67933,1.06274,0.0093367,0.0093367,0.0093367
69,2621.9,0.53085,0.52842,0.99132,0.87933,0.85994,0.92762,0.81596,0.62018,0.62582,1.05923,0.0093268,0.0093268,0.0093268
70,2659.38,0.53265,0.52967,0.99598,0.88466,0.87568,0.93594,0.82553,0.60445,0.64301,1.05281,0.0093169,0.0093169,0.0093169
71,2696.83,0.52688,0.52015,0.98898,0.9049,0.86459,0.93434,0.82567,0.59877,0.59674,1.04365,0.009307,0.009307,0.009307
72,2734.83,0.5277,0.51742,0.98866,0.85018,0.80681,0.91086,0.79944,0.61451,0.75454,1.06241,0.0092971,0.0092971,0.0092971
73,2773.24,0.52954,0.52126,0.98666,0.91113,0.87213,0.94341,0.83028,0.5989,0.58785,1.06257,0.0092872,0.0092872,0.0092872
74,2808.12,0.52368,0.515,0.98807,0.89746,0.87813,0.93356,0.81815,0.64603,0.62312,1.10214,0.0092773,0.0092773,0.0092773
75,2846.78,0.52121,0.51687,0.98543,0.9046,0.86382,0.93139,0.82067,0.61979,0.61825,1.08168,0.0092674,0.0092674,0.0092674
76,2884.38,0.52701,0.51629,0.99166,0.91195,0.86313,0.94109,0.83452,0.5989,0.60824,1.05856,0.0092575,0.0092575,0.0092575
77,2922.61,0.52658,0.51279,0.99212,0.90394,0.87243,0.93789,0.8351,0.58841,0.62175,1.04173,0.0092476,0.0092476,0.0092476
78,2960.69,0.52796,0.51205,0.98489,0.89409,0.86804,0.9322,0.8269,0.60448,0.61187,1.04523,0.0092377,0.0092377,0.0092377
79,2998.74,0.52169,0.51444,0.98909,0.89252,0.8636,0.93281,0.82301,0.63761,0.6394,1.0824,0.0092278,0.0092278,0.0092278
80,3034.25,0.52489,0.51211,0.98669,0.89827,0.8564,0.93261,0.82442,0.59263,0.63585,1.053,0.0092179,0.0092179,0.0092179
81,3071.88,0.51761,0.49759,0.98049,0.9063,0.86909,0.93427,0.83038,0.62407,0.64546,1.06664,0.009208,0.009208,0.009208
82,3109.55,0.52017,0.50289,0.98733,0.9027,0.86684,0.9405,0.83558,0.60115,0.58903,1.04034,0.0091981,0.0091981,0.0091981
83,3147.37,0.52444,0.50391,0.9879,0.89332,0.87866,0.93872,0.831,0.60616,0.61375,1.06473,0.0091882,0.0091882,0.0091882
84,3185.8,0.51602,0.50023,0.98277,0.91579,0.85565,0.93527,0.82674,0.61342,0.60276,1.04397,0.0091783,0.0091783,0.0091783
85,3223.34,0.5151,0.5021,0.97964,0.89553,0.85835,0.93114,0.82322,0.60273,0.62921,1.05,0.0091684,0.0091684,0.0091684
86,3260.69,0.51751,0.5005,0.97846,0.90086,0.88315,0.93928,0.82994,0.60554,0.5838,1.03835,0.0091585,0.0091585,0.0091585
87,3298.71,0.51443,0.50372,0.98319,0.89302,0.8833,0.93947,0.83667,0.58565,0.5709,1.04357,0.0091486,0.0091486,0.0091486
88,3337.06,0.51736,0.50066,0.98075,0.89364,0.87599,0.93476,0.83408,0.60667,0.57991,1.06499,0.0091387,0.0091387,0.0091387
89,3375.95,0.51937,0.49712,0.98196,0.89874,0.88185,0.94104,0.83656,0.59239,0.56337,1.0404,0.0091288,0.0091288,0.0091288
90,3415.78,0.51704,0.5003,0.98455,0.90668,0.87865,0.94118,0.83615,0.61148,0.59638,1.05711,0.0091189,0.0091189,0.0091189
91,3454.02,0.51171,0.49603,0.98417,0.89442,0.87911,0.93818,0.83362,0.58249,0.59521,1.06013,0.009109,0.009109,0.009109
92,3492.03,0.50915,0.49507,0.97925,0.88844,0.87632,0.93626,0.83283,0.60008,0.58419,1.0611,0.0090991,0.0090991,0.0090991
93,3529.43,0.51424,0.50028,0.98359,0.91105,0.87771,0.94093,0.83308,0.61034,0.56998,1.06415,0.0090892,0.0090892,0.0090892
94,3567.33,0.50681,0.49487,0.97981,0.91311,0.88062,0.94236,0.84,0.59492,0.5528,1.05573,0.0090793,0.0090793,0.0090793
95,3604.76,0.51292,0.49138,0.98055,0.89849,0.86671,0.93869,0.83328,0.61175,0.62049,1.06622,0.0090694,0.0090694,0.0090694
96,3642.23,0.51016,0.49414,0.97839,0.89384,0.87922,0.94003,0.83692,0.58487,0.60748,1.03747,0.0090595,0.0090595,0.0090595
97,3677.38,0.50828,0.4845,0.97582,0.92198,0.88318,0.94473,0.84456,0.57783,0.56513,1.03676,0.0090496,0.0090496,0.0090496
98,3716.84,0.51039,0.48538,0.98152,0.90212,0.8943,0.94406,0.84131,0.58545,0.53362,1.05615,0.0090397,0.0090397,0.0090397
99,3754.4,0.50901,0.49386,0.98025,0.90087,0.8867,0.93923,0.83618,0.58949,0.56809,1.05343,0.0090298,0.0090298,0.0090298
100,3792.19,0.5086,0.48257,0.98185,0.89972,0.88369,0.94102,0.83956,0.58246,0.56591,1.04517,0.0090199,0.0090199,0.0090199
101,3829.59,0.51118,0.48638,0.97927,0.91085,0.87782,0.93902,0.83282,0.5936,0.61867,1.06561,0.00901,0.00901,0.00901
102,3868.7,0.50778,0.4792,0.9753,0.9004,0.87795,0.93769,0.83507,0.60755,0.58552,1.07139,0.0090001,0.0090001,0.0090001
103,3904.46,0.5085,0.48372,0.9784,0.92785,0.87069,0.9433,0.84265,0.58701,0.55581,1.04579,0.0089902,0.0089902,0.0089902
104,3942.15,0.50675,0.48409,0.97757,0.90231,0.8789,0.94081,0.8395,0.59803,0.56409,1.04787,0.0089803,0.0089803,0.0089803
105,3980.56,0.51039,0.48449,0.98134,0.90527,0.88492,0.94981,0.84886,0.57534,0.55638,1.03012,0.0089704,0.0089704,0.0089704
106,4018.88,0.50234,0.48198,0.97335,0.90514,0.88223,0.93986,0.83973,0.58648,0.59317,1.05284,0.0089605,0.0089605,0.0089605
107,4057.28,0.50222,0.48351,0.97307,0.9134,0.88227,0.94081,0.83939,0.59962,0.58023,1.05251,0.0089506,0.0089506,0.0089506
108,4096.11,0.50864,0.48246,0.97666,0.90678,0.8906,0.94316,0.84046,0.57011,0.57618,1.03872,0.0089407,0.0089407,0.0089407
109,4134.35,0.50903,0.47951,0.97911,0.9019,0.88543,0.94417,0.84311,0.58876,0.57166,1.04948,0.0089308,0.0089308,0.0089308
110,4173.9,0.5037,0.47526,0.97424,0.92078,0.88095,0.94872,0.85208,0.56808,0.56123,1.04145,0.0089209,0.0089209,0.0089209
111,4212.14,0.50451,0.47945,0.97817,0.9188,0.87515,0.94579,0.84554,0.56676,0.5555,1.03314,0.008911,0.008911,0.008911
112,4251.61,0.50326,0.47408,0.9741,0.89983,0.89432,0.94605,0.84553,0.56372,0.5783,1.03381,0.0089011,0.0089011,0.0089011
113,4289.01,0.49794,0.46865,0.97231,0.90584,0.87158,0.93863,0.8374,0.58917,0.60495,1.05773,0.0088912,0.0088912,0.0088912
114,4327.42,0.48968,0.4693,0.96405,0.92072,0.88019,0.95015,0.84486,0.57404,0.52574,1.02841,0.0088813,0.0088813,0.0088813
115,4364.37,0.49807,0.47426,0.9689,0.90907,0.89098,0.94728,0.84663,0.58629,0.55524,1.0655,0.0088714,0.0088714,0.0088714
116,4402.27,0.49989,0.47118,0.97369,0.90925,0.89327,0.94798,0.85278,0.57903,0.5266,1.04739,0.0088615,0.0088615,0.0088615
117,4439.99,0.49111,0.47089,0.96707,0.91621,0.88813,0.95063,0.85494,0.56153,0.53481,1.02483,0.0088516,0.0088516,0.0088516
118,4478.37,0.50077,0.46972,0.97267,0.90525,0.89188,0.94545,0.84513,0.57789,0.54437,1.03381,0.0088417,0.0088417,0.0088417
119,4516.1,0.50753,0.47373,0.97975,0.91157,0.88746,0.94741,0.85212,0.55571,0.55582,1.02723,0.0088318,0.0088318,0.0088318
120,4554.02,0.49989,0.46785,0.9738,0.91487,0.87846,0.94592,0.84657,0.56932,0.55392,1.03242,0.0088219,0.0088219,0.0088219
121,4591.53,0.50142,0.47139,0.97502,0.91439,0.88765,0.94555,0.84781,0.57703,0.55583,1.04098,0.008812,0.008812,0.008812
122,4630.15,0.50056,0.47453,0.97587,0.91691,0.88085,0.94528,0.85012,0.59498,0.55462,1.06443,0.0088021,0.0088021,0.0088021
123,4668.26,0.49751,0.4714,0.97348,0.91847,0.88543,0.95006,0.85272,0.57862,0.53328,1.04183,0.0087922,0.0087922,0.0087922
124,4706.17,0.48866,0.46399,0.96739,0.90115,0.90279,0.95056,0.85672,0.56421,0.5385,1.03538,0.0087823,0.0087823,0.0087823
